tau [s]   P(tau) [1/s²]
1.462760E-11 50676575304913.882812
1.623341E-12 -3760572209529.267578
6.059452E-13 20142127624.227592
3.156038E-13 449801192544.192993
1.916591E-13 -528135498344.690186
1.262069E-13 8374938109.357495
8.915805E-14 252848153019.118225
6.650950E-14 -62362507935.367760
5.143969E-14 29784435963.032112
4.100475E-14 -39372698169.917290
3.341803E-14 91726639714.700424
2.777291E-14 -8357510499.680199
2.343937E-14 34600801374.009933
2.005252E-14 -5577177860.758100
1.735170E-14 -10318370039.361042
1.516408E-14 -8859680012.076691
1.336309E-14 32437770340.763153
1.186935E-14 18783671120.526707
1.061641E-14 31819238648.928921
9.549048E-15 11534521222.661991
