tau [s]   P(tau) [1/s²]
2.499774E-11 883115224121230.500000
6.990553E-12 -21348646699650.519531
2.779889E-12 -1530906104183.528320
1.556896E-12 17715532379716.359375
1.312641E-12 -27379757070227.613281
8.102366E-13 -2667990196947.197266
5.384061E-13 -6319547987175.824219
3.925262E-13 1893384333789.812988
3.376096E-13 19311412100770.316406
2.753000E-13 -5553895561077.615234
2.170271E-13 208814401572.646027
1.774002E-13 271223706729.189728
1.546648E-13 -3818282280645.455078
1.354745E-13 -6089349047277.147461
1.157152E-13 -4398704401643.994141
