tau [s]   P(tau) [1/s²]
4.996951E-11 23962222095490.113281
1.107917E-11 -567911561959.699341
4.642533E-12 981851615455.979492
2.324671E-12 16547601709.192215
1.411344E-12 448669758469.727173
9.422464E-13 -79894522325.703384
6.678157E-13 170421241473.877380
4.993267E-13 -19060242506.680283
3.872187E-13 -4293443764.532085
3.085281E-13 -31065786145.710106
2.515971E-13 111170982973.243683
2.089393E-13 -20217561796.227722
1.763758E-13 44265276308.818604
1.509976E-13 -15370308491.786291
1.305093E-13 4402728348.005802
