r [m]	R_1(r) [∛(1/m)] 		R_2(r) [∛(1/m)] 		R_3(r) [∛(1/m)] 		R_4(r) [∛(1/m)] 		R_5(r) [∛(1/m)] 		R_6(r) [∛(1/m)] 		R_7(r) [∛(1/m)] 		R_8(r) [∛(1/m)] 		R_9(r) [∛(1/m)] 		R_10(r) [∛(1/m)] 		R_11(r) [∛(1/m)] 		R_12(r) [∛(1/m)] 		R_13(r) [∛(1/m)] 		R_14(r) [∛(1/m)] 		R_15(r) [∛(1/m)] 		R_16(r) [∛(1/m)] 		R_17(r) [∛(1/m)] 		R_18(r) [∛(1/m)] 		R_19(r) [∛(1/m)] 		R_20(r) [∛(1/m)] 	
 -4.75096144e+14  7.56050609e+14 -6.17001116e+14  8.05309661e+14]
3.700442E-10 [ 1.21290552e+14  4.53553168e+14 -4.56104970e+14  4.96178470e+14
  5.33317360e+14 -2.45989676e+14  5.99175823e+14  6.33564863e+14
 -4.32485558e+14  6.53911456e+14 -6.14344145e+14  7.00561563e+14
 -6.67437172e+14  7.17209667e+14 -4.67154278e+14  7.46648324e+14
 -4.75074601e+14  7.56020731e+14 -6.16969610e+14  8.05272048e+14]
3.700493E-10 [ 1.21290555e+14  4.53553043e+14 -4.56104586e+14  4.96177645e+14
  5.33315887e+14 -2.45987937e+14  5.99172241e+14  6.33559902e+14
 -4.32479654e+14  6.53902813e+14 -6.14333348e+14  7.00548223e+14
 -6.67420934e+14  7.17190314e+14 -4.67135244e+14  7.46621813e+14
 -4.75049394e+14  7.55985770e+14 -6.16932743e+14  8.05228036e+14]
3.700546E-10 [ 1.21290559e+14  4.53552899e+14 -4.56104142e+14  4.96176688e+14
  5.33314179e+14 -2.45985918e+14  5.99168084e+14  6.33554144e+14
 -4.32472804e+14  6.53892783e+14 -6.14320819e+14  7.00532744e+14
 -6.67402092e+14  7.17167858e+14 -4.67113158e+14  7.46591053e+14
 -4.75020145e+14  7.55945204e+14 -6.16889966e+14  8.05176969e+14]
3.700602E-10 [ 1.21290563e+14  4.53552733e+14 -4.56103629e+14  4.96175586e+14
  5.33312211e+14 -2.45983593e+14  5.99163298e+14  6.33547514e+14
 -4.32464915e+14  6.53881233e+14 -6.14306390e+14  7.00514917e+14
 -6.67380393e+14  7.17141997e+14 -4.67087722e+14  7.46555627e+14
 -4.74986461e+14  7.55898486e+14 -6.16840702e+14  8.05118158e+14]
3.700660E-10 [ 1.21290569e+14  4.53552543e+14 -4.56103043e+14  4.96174325e+14
  5.33309961e+14 -2.45980933e+14  5.99157822e+14  6.33539929e+14
 -4.32455891e+14  6.53868020e+14 -6.14289884e+14  7.00494526e+14
 -6.67355571e+14  7.17112415e+14 -4.67058626e+14  7.46515104e+14
 -4.74947930e+14  7.55845046e+14 -6.16784350e+14  8.05050884e+14]
3.700721E-10 [ 1.21290574e+14  4.53552327e+14 -4.56102377e+14  4.96172892e+14
  5.33307401e+14 -2.45977909e+14  5.99151596e+14  6.33531305e+14
 -4.32445630e+14  6.53852997e+14 -6.14271117e+14  7.00471341e+14
 -6.67327349e+14  7.17078780e+14 -4.67025546e+14  7.46469030e+14
 -4.74904121e+14  7.55784287e+14 -6.16720280e+14  8.04974398e+14]
3.700785E-10 [ 1.21290581e+14  4.53552083e+14 -4.56101624e+14  4.96171271e+14
  5.33304508e+14 -2.45974490e+14  5.99144557e+14  6.33521554e+14
 -4.32434029e+14  6.53836011e+14 -6.14249898e+14  7.00445125e+14
 -6.67295438e+14  7.17040750e+14 -4.66988142e+14  7.46416935e+14
 -4.74854589e+14  7.55715588e+14 -6.16647839e+14  8.04887918e+14]
3.700850E-10 [ 1.21290589e+14  4.53551808e+14 -4.56100776e+14  4.96169448e+14
  5.33301253e+14 -2.45970643e+14  5.99136637e+14  6.33510584e+14
 -4.32420977e+14  6.53816902e+14 -6.14226026e+14  7.00415633e+14
 -6.67259539e+14  7.16997966e+14 -4.66946064e+14  7.46358330e+14
 -4.74798866e+14  7.55638304e+14 -6.16566346e+14  8.04790631e+14]
3.700919E-10 [ 1.21290597e+14  4.53551501e+14 -4.56099827e+14  4.96167406e+14
  5.33297607e+14 -2.45966336e+14  5.99127769e+14  6.33498300e+14
 -4.32406362e+14  6.53795504e+14 -6.14199296e+14  7.00382609e+14
 -6.67219341e+14  7.16950058e+14 -4.66898947e+14  7.46292706e+14
 -4.74736471e+14  7.55551766e+14 -6.16475095e+14  8.04681696e+14]
3.700990E-10 [ 1.21290606e+14  4.53551158e+14 -4.56098769e+14  4.96165129e+14
  5.33293543e+14 -2.45961533e+14  5.99117881e+14  6.33484603e+14
 -4.32390066e+14  6.53771644e+14 -6.14169491e+14  7.00345787e+14
 -6.67174520e+14  7.16896642e+14 -4.66846412e+14  7.46219537e+14
 -4.74666902e+14  7.55455279e+14 -6.16373354e+14  8.04560238e+14]
3.701063E-10 [ 1.21290617e+14  4.53550777e+14 -4.56097594e+14  4.96162601e+14
  5.33289029e+14 -2.45956199e+14  5.99106899e+14  6.33469392e+14
 -4.32371968e+14  6.53745146e+14 -6.14136389e+14  7.00304892e+14
 -6.67124742e+14  7.16837318e+14 -4.66788069e+14  7.46138277e+14
 -4.74589643e+14  7.55348125e+14 -6.16260367e+14  8.04425355e+14]
3.701139E-10 [ 1.21290628e+14  4.53550355e+14 -4.56096293e+14  4.96159803e+14
  5.33284034e+14 -2.45950297e+14  5.99094747e+14  6.33452559e+14
 -4.32351943e+14  6.53715825e+14 -6.14099762e+14  7.00259642e+14
 -6.67069663e+14  7.16771677e+14 -4.66723512e+14  7.46048365e+14
 -4.74504157e+14  7.55229561e+14 -6.16135351e+14  8.04276112e+14]
3.701218E-10 [ 1.21290641e+14  4.53549890e+14 -4.56094859e+14  4.96156717e+14
  5.33278525e+14 -2.45943788e+14  5.99081346e+14  6.33433997e+14
 -4.32329859e+14  6.53683492e+14 -6.14059372e+14  7.00209742e+14
 -6.67008925e+14  7.16699292e+14 -4.66652325e+14  7.45949217e+14
 -4.74409891e+14  7.55098822e+14 -6.15997497e+14  8.04111545e+14]
3.701299E-10 [ 1.21290654e+14  4.53549379e+14 -4.56093282e+14  4.96153326e+14
  5.33272470e+14 -2.45936634e+14  5.99066615e+14  6.33413593e+14
 -4.32305584e+14  6.53647950e+14 -6.14014974e+14  7.00154892e+14
 -6.66942161e+14  7.16619726e+14 -4.66574076e+14  7.45840234e+14
 -4.74306277e+14  7.54955116e+14 -6.15845974e+14  8.03930660e+14]
3.701383E-10 [ 1.21290670e+14  4.53548819e+14 -4.56091555e+14  4.96149608e+14
  5.33265834e+14 -2.45928793e+14  5.99050471e+14  6.33391230e+14
 -4.32278980e+14  6.53608997e+14 -6.13966316e+14  7.00094778e+14
 -6.66868992e+14  7.16532527e+14 -4.66488321e+14  7.45720798e+14
 -4.74192726e+14  7.54797630e+14 -6.15679923e+14  8.03732433e+14]
3.701469E-10 [ 1.21290686e+14  4.53548207e+14 -4.56089666e+14  4.96145546e+14
  5.33258581e+14 -2.45920223e+14  5.99032826e+14  6.33366790e+14
 -4.32249904e+14  6.53566425e+14 -6.13913138e+14  7.00029081e+14
 -6.66789027e+14  7.16437230e+14 -4.66394605e+14  7.45590273e+14
 -4.74068635e+14  7.54625526e+14 -6.15498461e+14  8.03515811e+14]
3.701557E-10 [ 1.21290704e+14  4.53547540e+14 -4.56087608e+14  4.96141117e+14
  5.33250675e+14 -2.45910882e+14  5.99013593e+14  6.33340149e+14
 -4.32218211e+14  6.53520022e+14 -6.13855173e+14  6.99957471e+14
 -6.66701867e+14  7.16333358e+14 -4.66292457e+14  7.45448005e+14
 -4.73933382e+14  7.54437943e+14 -6.15300682e+14  8.03279712e+14]
3.701648E-10 [ 1.21290724e+14  4.53546814e+14 -4.56085369e+14  4.96136302e+14
  5.33242078e+14 -2.45900725e+14  5.98992680e+14  6.33311182e+14
 -4.32183750e+14  6.53469566e+14 -6.13792148e+14  6.99879610e+14
 -6.66607098e+14  7.16220420e+14 -4.66181396e+14  7.45293324e+14
 -4.73786330e+14  7.54233997e+14 -6.15085654e+14  8.03023023e+14]
3.701742E-10 [ 1.21290745e+14  4.53546027e+14 -4.56082941e+14  4.96131078e+14
  5.33232752e+14 -2.45889707e+14  5.98969994e+14  6.33279758e+14
 -4.32146368e+14  6.53414833e+14 -6.13723780e+14  6.99795148e+14
 -6.66504297e+14  7.16097911e+14 -4.66060925e+14  7.45125538e+14
 -4.73626823e+14  7.54012779e+14 -6.14852420e+14  8.02744605e+14]
